"System"	"X"	"Y"	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050	3050	3050	3051	3052	3057	3058	3059	3059	3059	3059	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145
"Andarmax"	-3.375	-386.492	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Andurien Commonality,Region 3"	"CC,Sian Commonality,Region 7"	"MOC"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Sian Commonality,Region 7"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"	"CC,Victoria Commonality,Region 1"
"Andelys"	455.043	-58.519	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"FS,Crucis March,Minette Operational Area,Tsamma Combat Region"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Andro"	144.745	-173	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FCF,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Kathil PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"
"Andurien"	-41.335	-315.245	"I"				"SCo"	"CC,Andurien Commonality,Region 2,Major Capital"	"CC,Andurien Commonality,Region 2,Major Capital"	"CC,Andurien Commonality,Region 2,Major Capital"	"CC,Andurien Commonality,Region 2,Major Capital"	"CC,Andurien Commonality,Region 2,Major Capital"	"CC,Andurien Commonality,Region 2,Major Capital"	"CC,Andurien Commonality,Region 2,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"DA,Faction Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"FWL,Duchy of Andurien,Major Capital"	"DA,Faction Capital"	"DA,Faction Capital"	"DA,Faction Capital"	"DA,Faction Capital"	"DA,Faction Capital"	"DA,Faction Capital"	"DA,Faction Capital"	"DA,Faction Capital"
"Anegasaki"	-49.375	-216.713	"I"				"SCo"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"CC,Sian Commonality,Region 1"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"FWL,Duchy of Oriente"	"DO"	"DO"	"OP"	"OP"	"OP"	"FWL,Oriente Protectorate"
"Anembo"	-288.729	314.793	"U"	"U"	"U"	"U"		"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"LA,Donegal March,Coventry Operational Area,Region 1"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater,Inarcs Archonette"	"LA,Coventry Province,Melissia Theater,Inarcs Archonette"	"LA,Coventry Province,Melissia Theater,Inarcs Archonette"	"LC,Coventry Province,Melissia Theater"	"LC,Coventry Province,Melissia Theater"	"LC,Coventry Province,Melissia Theater"	"LC,Coventry Province,Bucklands Theater"	"LC,Coventry Province,Bucklands Theater"
"Angell"	-98.231	-84.059	"MR"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"MCM"	"MCM"	"MSC"	"MSC"	"MSC"	"MSC"	"FWL,Clan Protectorate"
"Angelsey"	124.219	-88.218	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 1"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Anglia"	994.46	204.918	"U"	"U"	"U"	"U"	"U"	"U"			"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"	"NDC"
"Angol"	87.88	-38.822			"I"		"TGU"	"TH,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"AE,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"CC,Tikonov Commonality,Region 4"	"CC,Tikonov Commonality,Region 4"	"CC,Tikonov Commonality,Region 4"	"CC,Tikonov Commonality,Region 4"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FCF,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"WOB"	"CoF"	"ROTS,Prefecture IV"	"ROTS,Prefecture IV"	"ROTS,Prefecture IV"	"ROTS,Prefecture IV"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"CC,Tikonov Commonality,Region 2"
"Angra"	390.616	-361.187	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"TC,Dumassas Region"	"TC,Dumassas Region"	"TC,Dumassas Region"	"TC,Dumassas Region"	"TC,Dumassas Region"	"TC,Dumassas Region"	"TC,Dumassas Region"	"TC,Dumassas Region"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Anguilla"	411.779	79.279						"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FCF,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"FS,Draconis March,Woodbine Operational Area,Bryceland PDZ"	"DC,New Samarkand Military District,Kaznejoy Prefecture"	"DC,New Samarkand Military District,Kaznejoy Prefecture"	"DC,New Samarkand Military District,Tancredi Prefecture"
"Anjin Muerto"	586.511	-78.111						"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region,Minor Capital"
"Ankaa"	74.697	-9.356	"U"	"U"	"U"	"U"	"U"	"TH,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"AE,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"DC,Dieron Military District,Addicks Prefecture"	"DC,Dieron Military District,Addicks Prefecture"	"DC,Dieron Military District,Addicks Prefecture"	"CC,Tikonov Commonality,Region 4"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"WOB"	"CoF"	"ROTS,Prefecture IV"	"ROTS,Prefecture IV"	"ROTS,Prefecture IV"	"ROTS,Prefecture IV"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"	"FS,Draconis March,Robinson Operational Area,Kentares PDZ"
"Anklan"	-862.507	780.81	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"	"HL"
"Ankolika"	-217.169	-221.273	"U"					"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"PR"	"PR"	"PR"	"RF"	"RF"	"RF"	"RF"
"Annapolis"	164.654	130.745			"AG"	"DC"	"DC"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"	"DC,Benjamin Military District,Irurzun Prefecture"
